Latitude,Longitude,Altitude(m),Speed(m/s)
27.23195345932947,56.38713562943536,10,0.000166666666666667
27.21924894440819,56.37965389362012,50,0.000166666666666667
27.20477911580908,56.37113126376319,500,0.000166666666666667
27.16543775199442,56.40292779638973,1500,0.000166666666666667
26.73759747842227,56.68612814512881,5000,0.000166666666666667
25.74836125027824,57.41375057424977,10000,0.000166666666666667
25.03192293995436,58.19272562186809,10000,0.000166666666666667
24.68353392681291,57.70596663788606,10000,0.000166666666666667
25.45420037689536,56.66671006404006,10000,0.000166666666666667
26.60849079785284,56.44261895119726,10000,0.000166666666666667
25.17274005360037,53.75778272995753,10000,0.000166666666666667
26.08293536054368,53.72698475773784,10000,0.000166666666666667
26.01405473367423,54.93056643433106,10000,0.000166666666666667
26.36978546259198,55.32002455539371,10000,0.000166666666666667
26.55061361451593,55.85831951738142,5000,0.000166666666666667
27.25529998625124,56.37638304701274,1000,0.000166666666666667
27.25981463870624,56.39486033164841,500,0.000166666666666667
27.24280997934855,56.39343920597472,300,0.000166666666666667
27.23138527851264,56.38671356350633,10,0.000166666666666667
